"","state_code","county_code","pct_white_apps","pct_black_apps","pct_hisp_apps","pct_asian_apps","white_denial_rate","black_denial_rate","hisp_denial_rate","asian_denial_rate","denial_rate","loan_failed","total_loans"
"1","AK","02013",50,0,0,0,NA,NA,NA,NA,NA,0,2
"2","AK","02016",73.33,0,6.67,13.33,NA,NA,NA,NA,NA,2,15
"3","AK","02020",71.84,3.13,7.34,8.11,3.55,5.14,4.38,5.45,4.05,403,9947
"4","AK","02050",42.2,1.83,1.83,1.83,10.87,0,0,0,9.17,10,109
"5","AK","02060",60,0,6.67,0,NA,NA,NA,NA,NA,3,15
"6","AK","02068",90.62,0,0,0,NA,NA,NA,NA,NA,2,32
"7","AK","02070",50,0,0,0,NA,NA,NA,NA,NA,4,40
"8","AK","02090",80.28,3.22,7.05,2.97,4.73,5.13,9.36,5.56,4.95,120,2424
"9","AK","02100",92.68,0,2.44,0,NA,NA,NA,NA,NA,4,41
"10","AK","02105",73.33,6.67,0,0,NA,NA,NA,NA,NA,4,15
"11","AK","02110",77.81,0.69,4.8,5.66,5.95,0,5.36,10.61,6.68,78,1167
"12","AK","02122",87.75,0.32,2.98,1.4,3.69,20,10.64,9.09,4.13,65,1575
"13","AK","02130",76.78,0.47,1.9,5.69,13.58,0,0,16.67,12.32,26,211
"14","AK","02150",72.06,1.1,5.15,11.4,3.06,33.33,0,6.45,4.78,13,272
"15","AK","02164",66.67,0,0,0,NA,NA,NA,NA,NA,0,3
"16","AK","02170",84.2,1.56,4.82,1.5,4.54,8,6.47,2.78,4.72,227,4810
"17","AK","02180",51.09,0,3.26,1.09,NA,NA,NA,NA,NA,9,92
"18","AK","02185",14.29,4.08,0,14.29,NA,NA,NA,NA,NA,20,49
"19","AK","02188",37.5,0,0,6.25,NA,NA,NA,NA,NA,5,32
"20","AK","02195",86.36,0,0,0,NA,NA,NA,NA,NA,5,44
"21","AK","02198",56.1,0,2.44,2.44,NA,NA,NA,NA,NA,7,41
"22","AK","02220",81.82,0,4.96,4.13,10.1,NA,0,40,11.57,14,121
"23","AK","02230",89.47,0,0,5.26,NA,NA,NA,NA,NA,1,19
"24","AK","02240",68.51,2.21,23.2,0.55,8.87,0,9.52,0,8.29,15,181
"25","AK","02261",86.7,0,2.66,1.6,7.98,NA,0,0,7.45,14,188
"26","AK","02275",81.82,0,4.55,0,NA,NA,NA,NA,NA,1,22
"27","AK","02282",0,50,50,0,NA,NA,NA,NA,NA,0,2
"28","AK","02290",38.46,0,0,0,NA,NA,NA,NA,NA,3,13
"29","AK",NA,70,0,0,0,NA,NA,NA,NA,NA,6,10
"30","AL","01001",74.35,19.51,3.62,2.05,6.34,14.15,11.84,6.98,8.14,171,2101
"31","AL","01003",91.51,3.76,3,0.88,9.03,23.26,14.89,17.58,9.88,1018,10302
"32","AL","01005",74.37,20.94,3.61,0.36,13.59,48.28,30,0,21.3,59,277
"33","AL","01007",89.32,9.11,0.78,0,20.12,48.57,33.33,NA,23.18,89,384
"34","AL","01009",93.52,2.21,3.61,0.29,13.06,33.33,26.53,25,14.05,191,1359
"35","AL","01011",18.46,78.46,1.54,1.54,NA,NA,NA,NA,NA,36,65
"36","AL","01013",69.23,26.5,2.14,1.71,20.99,45.16,40,0,27.35,64,234
"37","AL","01015",81.5,14,3.2,0.77,11.76,14.53,12.12,6.25,12.15,251,2065
"38","AL","01017",71.68,25.06,2.26,0.25,19.58,32,44.44,0,23.81,95,399
"39","AL","01019",97.03,1.37,1.14,0,18.16,33.33,20,NA,18.31,80,437
"40","AL","01021",90.84,6.26,2.15,0.28,17.18,29.85,34.78,0,18.22,195,1070
"41","AL","01023",64.81,34.57,0,0,32.38,66.07,NA,NA,43.83,71,162
"42","AL","01025",61.92,36.75,0,0,12.95,48.48,NA,NA,26.28,118,449
"43","AL","01027",82.46,15.2,2.34,0,25.53,34.62,25,NA,26.9,46,171
"44","AL","01029",96.79,1.61,1.61,0,24.07,25,50,NA,24.5,61,249
"45","AL","01031",79.01,10.34,7.43,2.13,7.76,12.06,7.69,4.88,8.1,156,1925
"46","AL","01033",87.67,8.99,2.23,0.88,7.44,14.16,10.71,9.09,8.19,103,1257
"47","AL","01035",69.81,24.53,1.89,0.94,31.08,57.69,50,0,36.79,39,106
"48","AL","01037",77.99,20.13,1.26,0,16.13,40.62,100,NA,22.64,36,159
"49","AL","01039",93.33,4.31,1.37,0.2,16.39,45.45,0,0,17.25,88,510
"50","AL","01041",74.87,22.51,1.57,1.05,17.48,67.44,66.67,0,29.32,56,191
"51","AL","01043",95.62,1.28,2,0.39,14.27,21.74,25,14.29,14.59,263,1803
"52","AL","01045",80.56,12.69,5.24,0.81,13.58,18.35,13.33,0,14.2,122,859
"53","AL","01047",47.55,50.7,1.4,0.35,13.97,35.86,25,0,25.17,72,286
"54","AL","01049",91.72,1.87,4.43,0.47,15.01,18.75,15.79,50,15.52,133,857
"55","AL","01051",81.59,15.15,1.81,0.96,6.9,21.76,12.24,3.85,9.26,250,2700
"56","AL","01053",75.36,16.82,2.37,0.71,14.78,33.8,20,0,18.01,76,422
"57","AL","01055",89.97,6.71,2.31,0.43,10.67,13.6,16.28,0,10.94,204,1864
"58","AL","01057",95.63,4.37,0,0,21,30,NA,NA,21.4,49,229
"59","AL","01059",89.08,2.87,7.76,0,15.16,10,14.81,NA,15.23,53,348
"60","AL","01061",91,5.66,1.54,0,21.19,45.45,16.67,NA,22.62,88,389
"61","AL","01063",35.94,64.06,0,0,NA,NA,NA,NA,NA,21,64
"62","AL","01065",54.27,44.02,1.71,0,12.6,33.98,75,NA,23.08,54,234
"63","AL","01067",87.31,10.5,1.53,0.22,11.78,22.92,57.14,0,13.57,62,457
"64","AL","01069",83.38,11.28,3.29,1.53,7.08,15.56,10.23,12.2,8.22,220,2677
"65","AL","01071",92.94,2.95,2.18,0.26,13.81,17.39,23.53,0,14.76,115,779
"66","AL","01073",73.3,21.14,2.67,2.53,4.7,12.69,9.45,7.42,6.61,1127,17038
"67","AL","01075",92.44,5.88,0.84,0,22.73,42.86,100,NA,25.21,30,119
"68","AL","01077",93.06,3.7,2.08,0.61,7.19,13.7,7.32,0,7.45,147,1973
"69","AL","01079",88.75,3.87,3.34,0,15.64,45.45,31.58,NA,18.1,103,569
"70","AL","01081",76.92,13.21,3.15,6.11,6.03,21.77,12.35,3.95,8.28,446,5389
"71","AL","01083",80.13,12.45,3.75,2.88,4.98,9.42,10.23,5.19,5.74,269,4690
"72","AL","01085",55.2,42.4,1.6,0,17.39,60.38,0,NA,36,45,125
"73","AL","01087",29.78,64.61,3.37,2.25,26.42,46.96,33.33,0,39.33,70,178
"74","AL","01089",78.47,14.24,3.84,2.66,3.96,9.6,6.54,4.25,4.92,785,15951
"75","AL","01091",56.99,39.34,2.94,0.37,10.97,42.99,25,0,23.9,65,272
"76","AL","01093",95.47,1.21,2.11,0.6,20.25,0,28.57,100,20.85,69,331
"77","AL","01095",93.61,1.13,3.81,0.38,11.02,23.81,16.9,0,11.39,212,1862
"78","AL","01097",75.05,18.85,2.99,2.12,8.04,17.74,12.64,13.61,10.36,933,9003
"79","AL","01099",68.18,27.73,2.73,0,12,42.62,33.33,NA,20.91,46,220
"80","AL","01101",50.87,39.55,2.51,6.3,4.21,13.5,7.34,4.74,8.03,349,4346
"81","AL","01103",87.97,6.89,3.66,0.71,8.33,13.17,10.09,14.29,8.87,264,2976
"82","AL","01105",45.45,53.25,1.3,0,NA,NA,NA,NA,NA,28,77
"83","AL","01107",75.83,23.22,0.95,0,15,44.9,0,NA,21.8,46,211
"84","AL","01109",77.78,17.33,1.51,2.64,12.35,42.39,25,0,17.7,94,531
"85","AL","01111",88.83,9.47,1.46,0,17.49,20.51,16.67,NA,17.72,73,412
"86","AL","01113",57.62,31.91,8.13,1.24,7.3,12.96,7.63,0,8.96,130,1451
"87","AL","01115",84.34,12.75,1.89,0.73,9.57,12.83,11.94,11.54,10.04,356,3545
"88","AL","01117",80.36,13.72,3.2,2.35,5,12.53,9.85,4.47,6.21,650,10470
"89","AL","01119",39.39,58.59,2.02,0,NA,NA,NA,NA,NA,40,99
"90","AL","01121",77.68,19.65,1.76,0.63,16.95,30.47,20,0,19.65,279,1420
"91","AL","01123",91.35,6.73,1.1,0.55,16.39,48.98,50,0,19.09,139,728
"92","AL","01125",74.87,21.38,2.07,1.32,6.61,14.45,13.51,4.23,8.43,453,5375
"93","AL","01127",93.78,3.94,1.18,0.63,20.4,34,40,12.5,21.26,270,1270
"94","AL","01129",77.57,16.35,1.52,0,25.98,55.81,25,NA,30.42,80,263
"95","AL","01131",40.2,57.84,1.96,0,9.76,66.1,100,NA,44.12,45,102
"96","AL","01133",97.57,0.54,0.54,0,16.57,50,0,NA,16.71,62,371
"97","AL","05059",100,0,0,0,NA,NA,NA,NA,NA,0,1
"98","AL","13253",0,100,0,0,NA,NA,NA,NA,NA,0,1
"99","AL","21191",0,100,0,0,NA,NA,NA,NA,NA,1,1
"100","AL","28057",100,0,0,0,NA,NA,NA,NA,NA,0,1
"101","AL","28101",100,0,0,0,NA,NA,NA,NA,NA,1,1
"102","AL","32031",100,0,0,0,NA,NA,NA,NA,NA,0,1
"103","AL","47009",100,0,0,0,NA,NA,NA,NA,NA,0,1
"104","AL","47125",100,0,0,0,NA,NA,NA,NA,NA,0,1
"105","AL",NA,71.61,23.95,2.85,0.41,61.59,80.45,79.17,28.57,66.75,1126,1687
"106","AR","05001",82.35,13.9,2.67,1.07,20.78,38.46,20,0,22.99,43,187
"107","AR","05003",79.26,14.07,6.67,0,23.83,36.84,22.22,NA,25.56,69,270
"108","AR","05005",97.97,0.36,0.48,0,7.3,66.67,0,NA,8.1,68,839
"109","AR","05007",78.95,2.05,10.05,7.18,5.55,12.6,8.2,5.79,6.04,726,12012
"110","AR","05009",97.39,0.29,1.45,0.29,11.01,0,20,0,11.01,76,690
"111","AR","05011",72.81,21.93,5.26,0,30.12,60,33.33,NA,36.84,42,114
"112","AR","05013",88.35,8.74,2.91,0,29.67,22.22,33.33,NA,29.13,30,103
"113","AR","05015",89.68,0.57,8.02,1.15,11.5,0,14.29,0,11.46,40,349
"114","AR","05017",53.93,40.45,4.49,0,NA,NA,NA,NA,NA,26,89
"115","AR","05019",83.43,12.95,2.71,0.3,28.88,27.91,0,0,28.01,93,332
"116","AR","05021",95.45,0,3.03,0,19.05,NA,0,NA,18.18,24,132
"117","AR","05023",98.09,0.17,0.69,0.17,16.99,0,25,0,17.01,98,576
"118","AR","05025",91.04,6.72,2.24,0,29.51,22.22,0,NA,28.36,38,134
"119","AR","05027",72.58,22.44,4.43,0.28,19.85,51.85,12.5,0,26.59,96,361
"120","AR","05029",85.09,10.28,2.57,1.03,24.47,30,20,0,25.19,98,389
"121","AR","05031",87.83,6.46,3.28,2,6.22,11.05,11.96,3.57,6.68,187,2801
"122","AR","05033",90.38,1.54,4.69,0.89,12.61,26.32,13.79,9.09,13.34,165,1237
"123","AR","05035",64.17,33.08,2,0.62,6.42,18.11,12.5,0,10.36,83,801
"124","AR","05037",87.46,9.15,2.37,0.68,12.02,33.33,0,0,13.56,40,295
"125","AR","05039",60,36.36,3.64,0,NA,NA,NA,NA,NA,22,55
"126","AR","05041",53.75,38.75,7.5,0,NA,NA,NA,NA,NA,26,80
"127","AR","05043",73.82,18.91,5.09,1.82,22.66,42.31,14.29,20,25.82,71,275
"128","AR","05045",89.81,5.72,2.8,0.98,7.75,19.44,15.09,5.41,8.6,325,3779
"129","AR","05047",95.99,0,2.34,0.33,17.77,NA,42.86,0,18.06,54,299
"130","AR","05049",98.85,0,0,0,17.44,NA,NA,NA,17.24,30,174
"131","AR","05051",91.93,3.42,3.2,0.68,13.57,27.5,18.67,6.25,14.22,333,2341
"132","AR","05053",94.51,3.19,1.59,0.53,17.42,33.33,44.44,33.33,18.41,104,565
"133","AR","05055",95.77,1.11,2.82,0,9.25,18.18,17.86,NA,9.57,95,993
"134","AR","05057",67.69,18.85,13.46,0,22.73,48.98,20,NA,27.31,71,260
"135","AR","05059",90.49,4.18,2.88,0.72,27.71,34.48,40,80,29.11,202,694
"136","AR","05061",81.29,12.28,5.85,0,15.83,33.33,40,NA,19.3,33,171
"137","AR","05063",94.33,1.1,2.52,1.1,14.19,14.29,0,0,13.54,86,635
"138","AR","05065",98.41,0,1.59,0,19.35,NA,33.33,NA,19.58,37,189
"139","AR","05067",87.65,6.17,4.32,0.62,18.31,30,57.14,0,20.99,34,162
"140","AR","05069",58.19,37.34,2.59,1.53,20.85,17.67,22.73,15.38,19.67,167,849
"141","AR","05071",90.39,1.04,5.97,2.34,15.8,25,17.39,33.33,16.36,63,385
"142","AR","05073",66.22,29.73,2.7,0,NA,NA,NA,NA,NA,34,74
"143","AR","05075",97.88,0,1.59,0.53,23.24,NA,0,100,23.28,44,189
"144","AR","05077",44.44,47.22,8.33,0,NA,NA,NA,NA,NA,15,36
