"Location","applicant_race_ethnicity","loan_failed","total_loans","debt_to_income_ratio_bracket","income_bracket","denial_rate"
"AK","Hispanic or Latino",61,1286,"All","All",0.0474339035769829
"AK","Non-Hispanic Asian",50,1077,"All","All",0.0464252553389044
"AK","Non-Hispanic Black",25,482,"All","All",0.0518672199170125
"AK","Non-Hispanic White",670,16293,"All","All",0.0411219542134659
"AL","Hispanic or Latino",470,3883,"All","All",0.121040432655164
"AL","Non-Hispanic Asian",151,2533,"All","All",0.0596131069877615
"AL","Non-Hispanic Black",3337,19130,"All","All",0.17443805541035
"AL","Non-Hispanic White",8429,102977,"All","All",0.0818532293618963
"AR","Hispanic or Latino",459,3661,"All","All",0.125375580442502
"AR","Non-Hispanic Asian",111,1748,"All","All",0.0635011441647597
"AR","Non-Hispanic Black",1049,5281,"All","All",0.198636621851922
"AR","Non-Hispanic White",6049,58794,"All","All",0.102884648093343
"AZ","Hispanic or Latino",4296,50376,"All","All",0.0852787041448309
"AZ","Non-Hispanic Asian",638,10417,"All","All",0.0612460401267159
"AZ","Non-Hispanic Black",1031,9914,"All","All",0.103994351422231
"AZ","Non-Hispanic White",10229,178491,"All","All",0.057308211618513
"CA","Hispanic or Latino",19298,205398,"All","All",0.0939541767690046
"CA","Non-Hispanic Asian",10013,128469,"All","All",0.0779409818711129
"CA","Non-Hispanic Black",3773,34034,"All","All",0.110859728506787
"CA","Non-Hispanic White",21864,345123,"All","All",0.0633513269182292
"CO","Hispanic or Latino",3392,33836,"All","All",0.10024825629507
"CO","Non-Hispanic Asian",601,10031,"All","All",0.0599142657760941
"CO","Non-Hispanic Black",608,7237,"All","All",0.0840127124499102
"CO","Non-Hispanic White",8554,183811,"All","All",0.0465369319572822
"CT","Hispanic or Latino",1175,12141,"All","All",0.0967795074540812
"CT","Non-Hispanic Asian",285,4505,"All","All",0.0632630410654828
"CT","Non-Hispanic Black",939,7836,"All","All",0.119831546707504
"CT","Non-Hispanic White",3414,63367,"All","All",0.053876623479098
"DC","Hispanic or Latino",82,1318,"All","All",0.0622154779969651
"DC","Non-Hispanic Asian",67,1399,"All","All",0.047891350964975
"DC","Non-Hispanic Black",341,3334,"All","All",0.102279544091182
"DC","Non-Hispanic White",293,9438,"All","All",0.0310447128628947
"DE","Hispanic or Latino",223,1851,"All","All",0.120475418692599
"DE","Non-Hispanic Asian",112,1502,"All","All",0.0745672436750999
"DE","Non-Hispanic Black",746,5790,"All","All",0.128842832469775
"DE","Non-Hispanic White",1290,20201,"All","All",0.0638582248403544
"FL","Hispanic or Latino",20127,167975,"All","All",0.119821401994344
"FL","Non-Hispanic Asian",2009,21473,"All","All",0.0935593536068551
"FL","Non-Hispanic Black",10132,66939,"All","All",0.151361687506536
"FL","Non-Hispanic White",36423,435853,"All","All",0.0835671659940393
"GA","Hispanic or Latino",2292,24029,"All","All",0.095384743435016
"GA","Non-Hispanic Asian",1287,19147,"All","All",0.0672167963649658
"GA","Non-Hispanic Black",10533,75065,"All","All",0.140318390728036
"GA","Non-Hispanic White",14076,194964,"All","All",0.0721979442358589
"HI","Hispanic or Latino",110,1853,"All","All",0.0593631948192121
"HI","Non-Hispanic Asian",536,10266,"All","All",0.0522111825443211
"HI","Non-Hispanic Black",47,712,"All","All",0.0660112359550562
"HI","Non-Hispanic White",498,8912,"All","All",0.0558797127468582
"IA","Hispanic or Latino",347,3286,"All","All",0.105599513085819
"IA","Non-Hispanic Asian",110,1976,"All","All",0.055668016194332
"IA","Non-Hispanic Black",160,1621,"All","All",0.0987045033929673
"IA","Non-Hispanic White",3904,70810,"All","All",0.0551334557265923
"ID","Hispanic or Latino",338,5022,"All","All",0.0673038630027877
"ID","Non-Hispanic Asian",57,1197,"All","All",0.0476190476190476
"ID","Non-Hispanic Black",32,435,"All","All",0.0735632183908046
"ID","Non-Hispanic White",2945,62239,"All","All",0.047317598290461
